ted Kingdom
S0064012,P0077,Synthetic fixture product,5,2023-05-16 11:00:00,25.85,SYN0064,United Kingdom
S0012005,P0025,Synthetic fixture product,2,2023-05-16 11:00:00,25.96,SYN0012,United Kingdom
S0077006,P0010,Synthetic fixture product,3,2023-05-16 11:00:00,22.88,SYN0077,France
S0077006,P0023,Synthetic fixture product,4,2023-05-16 12:00:00,19.66,SYN0077,France
S0007007,P0033,Synthetic fixture product,2,2023-05-16 12:00:00,17.0,SYN0007,Netherlands
S0012005,P0038,Synthetic fixture product,6,2023-05-16 12:00:00,18.51,SYN0012,United Kingdom
S0051005,P0077,Synthetic fixture product,2,2023-05-16 12:00:00,11.0,SYN0051,Netherlands
S0022004,P0048,Synthetic fixture product,2,2023-05-16 12:00:00,14.9,SYN0022,Germany
S0027003,P0027,Synthetic fixture product,6,2023-05-17 10:00:00,21.3,SYN0027,Netherlands
S0075006,P0075,Synthetic fixture product,6,2023-05-17 10:00:00,18.65,SYN0075,Netherlands
S0055003,P0055,Synthetic fixture product,2,2023-05-17 10:00:00,14.78,SYN0055,Netherlands
S0031014,P0031,Synthetic fixture product,5,2023-05-17 10:00:00,28.99,SYN0031,Netherlands
S0055003,P0068,Synthetic fixture product,2,2023-05-17 11:00:00,9.57,SYN0055,Netherlands
S0013005,P0013,Synthetic fixture product,4,2023-05-18 10:00:00,26.94,SYN0013,France
S0000019,P0000,Synthetic fixture product,4,2023-05-18 10:00:00,8.78,SYN0000,United Kingdom
S0095012,P0015,Synthetic fixture product,3,2023-05-18 10:00:00,24.93,SYN0095,Netherlands
S0035009,P0035,Synthetic fixture product,6,2023-05-18 10:00:00,7.37,SYN0035,Netherlands
S0035009,P0048,Synthetic fixture product,4,2023-05-18 11:00:00,11.45,SYN0035,Netherlands
S0095012,P0028,Synthetic fixture product,3,2023-05-18 11:00:00,18.44,SYN0095,Netherlands
S0000019,P0013,Synthetic fixture product,3,2023-05-18 11:00:00,6.38,SYN0000,United Kingdom
S0095012,P0041,Synthetic fixture product,1,2023-05-18 12:00:00,17.79,SYN0095,Netherlands
S0035009,P0061,Synthetic fixture product,2,2023-05-18 12:00:00,7.96,SYN0035,Netherlands
S0068010,P0068,Synthetic fixture product,1,2023-05-19 10:00:00,8.62,SYN0068,United Kingdom
S0003010,P0003,Synthetic fixture product,4,2023-05-19 10:00:00,12.41,SYN0003,Netherlands
S0008008,P0008,Synthetic fixture product,1,2023-05-19 10:00:00,17.03,SYN0008,United Kingdom
S0066012,P0066,Synthetic fixture product,5,2023-05-19 10:00:00,30.29,SYN0066,Germany
S0002013,P0002,Synthetic fixture product,2,2023-05-19 10:00:00,11.01,SYN0002,Germany
S0005010,P0005,Synthetic fixture product,4,2023-05-19 10:00:00,18.03,SYN0005,France
S0084004,P0004,Synthetic fixture product,2,2023-05-19 10:00:00,26.62,SYN0084,United Kingdom
S0003010,P0016,Synthetic fixture product,6,2023-05-19 11:00:00,8.12,SYN0003,Netherlands
S0084004,P0017,Synthetic fixture product,5,2023-05-19 11:00:00,26.11,SYN0084,United Kingdom
S0008008,P0021,Synthetic fixture product,3,2023-05-19 11:00:00,12.25,SYN0008,United Kingdom
S0096010,P0016,Synthetic fixture product,2,2023-05-20 10:00:00,26.35,SYN0096,United Kingdom
S0072006,P0072,Synthetic fixture product,6,2023-05-20 10:00:00,9.45,SYN0072,United Kingdom
S0118004,P0038,Synthetic fixture product,3,2023-05-20 10:00:00,25.37,SYN0118,Germany
S0116004,P0036,Synthetic fixture product,6,2023-05-20 10:00:00,17.07,SYN0116,United Kingdom
S0036010,P0036,Synthetic fixture product,2,2023-05-20 10:00:00,13.8,SYN0036,United Kingdom
S0046005,P0046,Synthetic fixture product,3,2023-05-20 10:00:00,17.11,SYN0046,Germany
S0103007,P0023,Synthetic fixture product,2,2023-05-20 10:00:00,8.98,SYN0103,Netherlands
S0103007,P0036,Synthetic fixture product,3,2023-05-20 11:00:00,6.34,SYN0103,Netherlands
S0096010,P0029,Synthetic fixture product,4,2023-05-20 11:00:00,15.86,SYN0096,United Kingdom
S0118004,P0051,Synthetic fixture product,3,2023-05-20 11:00:00,28.28,SYN0118,Germany
S0036010,P0049,Synthetic fixture product,1,2023-05-20 11:00:00,11.27,SYN0036,United Kingdom
S0103007,P0049,Synthetic fixture product,3,2023-05-20 12:00:00,11.21,SYN0103,Netherlands
S0118004,P0064,Synthetic fixture product,3,2023-05-20 12:00:00,19.1,SYN0118,Germany
S0080005,P0000,Synthetic fixture product,3,2023-05-21 10:00:00,20.26,SYN0080,United Kingdom
S0010008,P0010,Synthetic fixture product,5,2023-05-21 10:00:00,23.62,SYN0010,Germany
S0100008,P0020,Synthetic fixture product,6,2023-05-21 10:00:00,18.9,SYN0100,United Kingdom
S0032015,P0032,Synthetic fixture product,5,2023-05-21 10:00:00,31.45,SYN0032,United Kingdom
S0070008,P0070,Synthetic fixture product,4,2023-05-21 10:00:00,13.19,SYN0070,Germany
S0040007,P0040,Synthetic fixture product,2,2023-05-21 10:00:00,16.59,SYN0040,United Kingdom
S0009007,P0009,Synthetic fixture product,3,2023-05-21 10:00:00,14.3,SYN0009,France
S0034011,P0034,Synthetic fixture product,2,2023-05-21 10:00:00,5.78,SYN0034,Germany
S0041008,P0041,Synthetic fixture product,2,2023-05-21 10:00:00,11.37,SYN0041,France
S0080005,P0013,Synthetic fixture product,1,2023-05-21 11:00:00,21.6,SYN0080,United Kingdom
S0041008,P0054,Synthetic fixture product,4,2023-05-21 11:00:00,19.82,SYN0041,France
S0032015,P0045,Synthetic fixture product,6,2023-05-21 11:00:00,20.93,SYN0032,United Kingdom
S0040007,P0053,Synthetic fixture product,2,2023-05-21 11:00:00,10.05,SYN0040,United Kingdom
S0009007,P0022,Synthetic fixture product,2,2023-05-21 11:00:00,14.11,SYN0009,France
S0040007,P0066,Synthetic fixture product,2,2023-05-21 12:00:00,14.34,SYN0040,United Kingdom
S0032015,P0058,Synthetic fixture product,3,2023-05-21 12:00:00,23.78,SYN0032,United Kingdom
S0028003,P0028,Synthetic fixture product,1,2023-05-22 10:00:00,21.8,SYN0028,United Kingdom
S0093018,P0013,Synthetic fixture product,1,2023-05-22 10:00:00,21.06,SYN0093,France
S0001016,P0001,Synthetic fixture product,6,2023-05-22 10:00:00,12.13,SYN0001,France
S0033012,P0033,Synthetic fixture product,1,2023-05-22 10:00:00,22.59,SYN0033,France
S0037009,P0037,Synthetic fixture product,4,2023-05-22 10:00:00,13.04,SYN0037,France
S0062018,P0062,Synthetic fixture product,6,2023-05-22 10:00:00,20.81,SYN0062,Germany
S0063016,P0063,Synthetic fixture product,3,2023-05-22 10:00:00,22.61,SYN0063,Netherlands
S0097009,P0017,Synthetic fixture product,3,2023-05-22 10:00:00,17.18,SYN0097,France
S0104007,P0024,Synthetic fixture product,1,2023-05-22 10:00:00,13.81,SYN0104,United Kingdom
S0028003,P0041,Synthetic fixture product,1,2023-05-22 11:00:00,23.71,SYN0028,United Kingdom
S0001016,P0014,Synthetic fixture product,3,2023-05-22 11:00:00,9.8,SYN0001,France
S0062018,P0075,Synthetic fixture product,2,2023-05-22 11:00:00,22.68,SYN0062,Germany
S0063016,P0076,Synthetic fixture product,2,2023-05-22 11:00:00,26.46,SYN0063,Netherlands
S0037009,P0050,Synthetic fixture product,6,2023-05-22 11:00:00,9.53,SYN0037,France
S0097009,P0030,Synthetic fixture product,4,2023-05-22 11:00:00,20.17,SYN0097,France
S0001016,P0027,Synthetic fixture product,1,2023-05-22 12:00:00,10.29,SYN0001,France
S0062018,P0008,Synthetic fixture product,3,2023-05-22 12:00:00,24.45,SYN0062,Germany
CS0104007,P0024,Synthetic fixture return,-1,2023-05-23 00:00:00,10.0,SYN0104,United Kingdom
CS0093018,P0013,Synthetic fixture return,-1,2023-05-23 00:00:00,16.0,SYN0093,France
S0110005,P0030,Synthetic fixture product,2,2023-05-23 10:00:00,19.08,SYN0110,Germany
S0053004,P0053,Synthetic fixture product,5,2023-05-23 10:00:00,8.32,SYN0053,France
S0019005,P0019,Synthetic fixture product,3,2023-05-23 10:00:00,13.63,SYN0019,Netherlands
S0094016,P0014,Synthetic fixture product,2,2023-05-23 10:00:00,16.96,SYN0094,Germany
S0110005,P0043,Synthetic fixture product,6,2023-05-23 11:00:00,14.38,SYN0110,Germany
S0094016,P0027,Synthetic fixture product,6,2023-05-23 11:00:00,16.03,SYN0094,Germany
S0094016,P0040,Synthetic fixture product,2,2023-05-23 12:00:00,19.49,SYN0094,Germany
S0106006,P0026,Synthetic fixture product,3,2023-05-24 10:00:00,11.89,SYN0106,Germany
S0074007,P0074,Synthetic fixture product,3,2023-05-24 10:00:00,15.24,SYN0074,Germany
S0065012,P0065,Synthetic fixture product,4,2023-05-24 10:00:00,18.81,SYN0065,France
S0089003,P0009,Synthetic fixture product,6,2023-05-24 10:00:00,8.79,SYN0089,France
S0031015,P0031,Synthetic fixture product,2,2023-05-24 10:00:00,23.44,SYN0031,Netherlands
S0087004,P0007,Synthetic fixture product,1,2023-05-24 10:00:00,8.46,SYN0087,Netherlands
S0004012,P0004,Synthetic fixture product,2,2023-05-24 10:00:00,14.33,SYN0004,United Kingdom
S0065012,P0078,Synthetic fixture product,5,2023-05-24 11:00:00,20.4,SYN0065,France
S0106006,P0039,Synthetic fixture product,3,2023-05-24 11:00:00,9.65,SYN0106,Germany
S0089003,P0022,Synthetic fixture product,6,2023-05-24 11:00:00,12.81,SYN0089,France
S0031015,P0044,Synthetic fixture product,4,2023-05-24 11:00:00,26.38,SYN0031,Netherlands
S0087004,P0020,Synthetic fixture product,3,2023-05-24 11:00:00,12.68,SYN0087,Netherlands
S0004012,P0017,Synthetic fixture product,5,2023-05-24 11:00:00,13.78,SYN0004,United Kingdom
S0089003,P0035,Synthetic fixture product,2,2023-05-24 12:00:00,10.06,SYN0089,France
S0065012,P0011,Synthetic fixture product,1,2023-05-24 12:00:00,17.76,SYN0065,France
S0000020,P0000,Synthetic fixture product,2,2023-05-25 10:00:00,9.34,SYN0000,United Kingdom
S0045005,P0045,Synthetic fixture product,5,2023-05-25 10:00:00,16.23,SYN0045,France
S0101009,P0021,Synthetic fixture product,4,2023-05-25 10:00:00,19.05,SYN0101,France
S0064013,P0064,Synthetic fixture product,6,2023-05-25 10:00:00,25.79,SYN0064,United Kingdom
S0064013,P0077,Synthetic fixture product,6,2023-05-25 11:00:00,27.23,SYN0064,United Kingdom
S0000020,P0013,Synthetic fixture product,1,2023-05-25 11:00:00,8.24,SYN0000,United Kingdom
S0045005,P0058,Synthetic fixture product,5,2023-05-25 11:00:00,23.09,SYN0045,France
S0101009,P0034,Synthetic fixture product,5,2023-05-25 11:00:00,18.56,SYN0101,France
S0000020,P0026,Synthetic fixture product,6,2023-05-25 12:00:00,9.88,SYN0000,United Kingdom
S0101009,P0047,Synthetic fixture product,6,2023-05-25 12:00:00,25.69,SYN0101,France
S0045005,P0071,Synthetic fixture product,5,2023-05-25 12:00:00,16.25,SYN0045,France
S0064013,P0010,Synthetic fixture product,6,2023-05-25 12:00:00,25.43,SYN0064,United Kingdom
S0086004,P0006,Synthetic fixture product,1,2023-05-26 10:00:00,12.5,SYN0086,Germany
S0039009,P0039,Synthetic fixture product,6,2023-05-26 10:00:00,12.92,SYN0039,Netherlands
S0067010,P0067,Synthetic fixture product,5,2023-05-26 10:00:00,31.11,SYN0067,Netherlands
S0111005,P0031,Synthetic fixture product,5,2023-05-26 10:00:00,21.22,SYN0111,Netherlands
S0107006,P0027,Synthetic fixture product,2,2023-05-26 10:00:00,16.68,SYN0107,Netherlands
S0073007,P0073,Synthetic fixture product,2,2023-05-26 10:00:00,10.53,SYN0073,France
S0026004,P0026,Synthetic fixture product,5,2023-05-26 10:00:00,14.7,SYN0026,Germany
S0073007,P0006,Synthetic fixture product,6,2023-05-26 11:00:00,16.36,SYN0073,France
S0067010,P0000,Synthetic fixture product,3,2023-05-26 11:00:00,25.85,SYN0067,Netherlands
S0111005,P0044,Synthetic fixture product,5,2023-05-26 11:00:00,12.85,SYN0111,Netherlands
S0107006,P0040,Synthetic fixture product,3,2023-05-26 11:00:00,10.96,SYN0107,Netherlands
S0073007,P0019,Synthetic fixture product,5,2023-05-26 12:00:00,15.89,SYN0073,France
S0111005,P0057,Synthetic fixture product,6,2023-05-26 12:00:00,13.26,SYN0111,Netherlands
S0067010,P0013,Synthetic fixture product,2,2023-05-26 12:00:00,19.89,SYN0067,Netherlands
S0107006,P0053,Synthetic fixture product,3,2023-05-26 12:00:00,12.35,SYN0107,Netherlands
S0006011,P0006,Synthetic fixture product,4,2023-05-27 10:00:00,15.59,SYN0006,Germany
S0102008,P0022,Synthetic fixture product,1,2023-05-27 10:00:00,10.23,SYN0102,Germany
S0095013,P0015,Synthetic fixture product,3,2023-05-27 10:00:00,16.53,SYN0095,Netherlands
S0081005,P0001,Synthetic fixture product,4,2023-05-27 10:00:00,17.85,SYN0081,France
S0038008,P0038,Synthetic fixture product,6,2023-05-27 10:00:00,13.32,SYN0038,Germany
S0017005,P0017,Synthetic fixture product,4,2023-05-27 10:00:00,6.53,SYN0017,France
S0052005,P0052,Synthetic fixture product,5,2023-05-27 10:00:00,10.84,SYN0052,United Kingdom
S0006011,P0019,Synthetic fixture product,4,2023-05-27 11:00:00,12.73,SYN0006,Germany
S0081005,P0014,Synthetic fixture product,4,2023-05-27 11:00:00,24.17,SYN0081,France
S0102008,P0035,Synthetic fixture product,4,2023-05-27 11:00:00,7.48,SYN0102,Germany
S0017005,P0030,Synthetic fixture product,1,2023-05-27 11:00:00,9.65,SYN0017,France
S0038008,P0051,Synthetic fixture product,4,2023-05-27 11:00:00,13.92,SYN0038,Germany
S0102008,P0048,Synthetic fixture product,4,2023-05-27 12:00:00,7.65,SYN0102,Germany
S0006011,P0032,Synthetic fixture product,4,2023-05-27 12:00:00,12.17,SYN0006,Germany
S0081005,P0027,Synthetic fixture product,5,2023-05-27 12:00:00,20.54,SYN0081,France
S0044007,P0044,Synthetic fixture product,6,2023-05-28 10:00:00,19.9,SYN0044,United Kingdom
S0083004,P0003,Synthetic fixture product,2,2023-05-28 10:00:00,22.46,SYN0083,Netherlands
S0002014,P0002,Synthetic fixture product,3,2023-05-28 10:00:00,10.66,SYN0002,Germany
S0119004,P0039,Synthetic fixture product,4,2023-05-28 10:00:00,9.09,SYN0119,Netherlands
S0099010,P0019,Synthetic fixture product,3,2023-05-28 10:00:00,27.74,SYN0099,Netherlands
S0098011,P0018,Synthetic fixture product,5,2023-05-28 10:00:00,15.63,SYN0098,Germany
S0069009,P0069,Synthetic fixture product,5,2023-05-28 10:00:00,8.92,SYN0069,France
S0018005,P0018,Synthetic fixture product,6,2023-05-28 10:00:00,7.48,SYN0018,Germany
S0021004,P0021,Synthetic fixture product,6,2023-05-28 10:00:00,8.81,SYN0021,France
S0014005,P0014,Synthetic fixture product,3,2023-05-28 10:00:00,15.94,SYN0014,Germany
S0018005,P0031,Synthetic fixture product,6,2023-05-28 11:00:00,11.83,SYN0018,Germany
S0098011,P0031,Synthetic fixture product,6,2023-05-28 11:00:00,22.58,SYN0098,Germany
S0021004,P0034,Synthetic fixture product,3,2023-05-28 11:00:00,8.93,SYN0021,France
S0099010,P0032,Synthetic fixture product,1,2023-05-28 11:00:00,19.14,SYN0099,Netherlands
S0002014,P0015,Synthetic fixture product,3,2023-05-28 11:00:00,12.35,SYN0002,Germany
S0014005,P0027,Synthetic fixture product,3,2023-05-28 11:00:00,28.08,SYN0014,Germany
S0018005,P0044,Synthetic fixture product,4,2023-05-28 12:00:00,8.66,SYN0018,Germany
S0109006,P0029,Synthetic fixture product,4,2023-05-29 10:00:00,20.01,SYN0109,France
S0093019,P0013,Synthetic fixture product,1,2023-05-29 10:00:00,16.16,SYN0093,France
S0115004,P0035,Synthetic fixture product,1,2023-05-29 10:00:00,28.58,SYN0115,Netherlands
S0032016,P0032,Synthetic fixture product,5,2023-05-29 10:00:00,19.71,SYN0032,United Kingdom
S0062019,P0062,Synthetic fixture product,6,2023-05-29 10:00:00,22.61,SYN0062,Germany
S0042007,P0042,Synthetic fixture product,2,2023-05-29 10:00:00,21.0,SYN0042,Germany
S0050005,P0050,Synthetic fixture product,4,2023-05-29 10:00:00,32.33,SYN0050,Germany
S0035010,P0035,Synthetic fixture product,4,2023-05-29 10:00:00,12.16,SYN0035,Netherlands
S0085004,P0005,Synthetic fixture product,3,2023-05-29 10:00:00,6.61,SYN0085,France
S0003011,P0003,Synthetic fixture product,1,2023-05-29 10:00:00,8.03,SYN0003,Netherlands
S0085004,P0018,Synthetic fixture product,6,2023-05-29 11:00:00,9.58,SYN0085,France
S0093019,P0026,Synthetic fixture product,6,2023-05-29 11:00:00,15.06,SYN0093,France
S0042007,P0055,Synthetic fixture product,6,2023-05-29 11:00:00,13.06,SYN0042,Germany
S0050005,P0063,Synthetic fixture product,5,2023-05-29 11:00:00,24.32,SYN0050,Germany
S0003011,P0016,Synthetic fixture product,4,2023-05-29 11:00:00,14.51,SYN0003,Netherlands
S0115004,P0048,Synthetic fixture product,1,2023-05-29 11:00:00,21.14,SYN0115,Netherlands
S0109006,P0042,Synthetic fixture product,6,2023-05-29 11:00:00,19.75,SYN0109,France
S0003011,P0029,Synthetic fixture product,3,2023-05-29 12:00:00,9.03,SYN0003,Netherlands
S0085004,P0031,Synthetic fixture product,6,2023-05-29 12:00:00,8.8,SYN0085,France
S0115004,P0061,Synthetic fixture product,6,2023-05-29 12:00:00,23.16,SYN0115,Netherlands
S0076007,P0076,Synthetic fixture product,6,2023-05-30 10:00:00,19.33,SYN0076,United Kingdom
S0007008,P0007,Synthetic fixture product,6,2023-05-30 10:00:00,12.21,SYN0007,Netherlands
S0063017,P0063,Synthetic fixture product,6,2023-05-30 10:00:00,23.72,SYN0063,Netherlands
S0096011,P0016,Synthetic fixture product,2,2023-05-30 10:00:00,15.24,SYN0096,United Kingdom
S0001017,P0001,Synthetic fixture product,6,2023-05-30 10:00:00,7.18,SYN0001,France
S0066013,P0066,Synthetic fixture product,4,2023-05-30 10:00:00,29.3,SYN0066,Germany
S0078006,P0078,Synthetic fixture product,6,2023-05-30 10:00:00,23.24,SYN0078,Germany
S0049005,P0049,Synthetic fixture product,2,2023-05-30 10:00:00,28.37,SYN0049,France
S0043006,P0043,Synthetic fixture product,2,2023-05-30 10:00:00,14.12,SYN0043,Netherlands
S0096011,P0029,Synthetic fixture product,4,2023-05-30 11:00:00,19.2,SYN0096,United Kingdom
S0043006,P0056,Synthetic fixture product,2,2023-05-30 11:00:00,17.81,SYN0043,Netherlands
S0076007,P0009,Synthetic fixture product,3,2023-05-30 11:00:00,11.99,SYN0076,United Kingdom
S0063017,P0076,Synthetic fixture product,4,2023-05-30 11:00:00,19.12,SYN0063,Netherlands
S0066013,P0079,Synthetic fixture product,4,2023-05-30 11:00:00,24.33,SYN0066,Germany
S0063017,P0009,Synthetic fixture product,3,2023-05-30 12:00:00,18.49,SYN0063,Netherlands
S0096011,P0042,Synthetic fixture product,4,2023-05-30 12:00:00,16.62,SYN0096,United Kingdom
S0076007,P0022,Synthetic fixture product,2,2023-05-30 12:00:00,18.85,SYN0076,United Kingdom
S0005011,P0005,Synthetic fixture product,4,2023-05-31 10:00:00,14.75,SYN0005,France
S0105007,P0025,Synthetic fixture product,4,2023-05-31 10:00:00,9.73,SYN0105,France
S0094017,P0014,Synthetic fixture product,5,2023-05-31 10:00:00,16.61,SYN0094,Germany
S0034012,P0034,Synthetic fixture product,3,2023-05-31 10:00:00,6.68,SYN0034,Germany
S0082004,P0002,Synthetic fixture product,5,2023-05-31 10:00:00,22.12,SYN0082,Germany
S0033013,P0033,Synthetic fixture product,6,2023-05-31 10:00:00,18.48,SYN0033,France
S0029003,P0029,Synthetic fixture product,2,2023-05-31 10:00:00,21.07,SYN0029,France
S0031016,P0031,Synthetic fixture product,3,2023-05-31 10:00:00,20.73,SYN0031,Netherlands
S0071009,P0071,Synthetic fixture product,2,2023-05-31 10:00:00,7.76,SYN0071,Netherlands
S0031016,P0044,Synthetic fixture product,3,2023-05-31 11:00:00,22.6,SYN0031,Netherlands
S0071009,P0004,Synthetic fixture product,6,2023-05-31 11:00:00,12.44,SYN0071,Netherlands
S0005011,P0018,Synthetic fixture product,6,2023-05-31 11:00:00,16.03,SYN0005,France
S0082004,P0015,Synthetic fixture product,4,2023-05-31 11:00:00,24.32,SYN0082,Germany
S0034012,P0047,Synthetic fixture product,2,2023-05-31 11:00:00,7.72,SYN0034,Germany
S0033013,P0046,Synthetic fixture product,3,2023-05-31 11:00:00,29.95,SYN0033,France
S0029003,P0042,Synthetic fixture product,4,2023-05-31 11:00:00,22.16,SYN0029,France
S0105007,P0038,Synthetic fixture product,2,2023-05-31 11:00:00,9.6,SYN0105,France
S0071009,P0017,Synthetic fixture product,3,2023-05-31 12:00:00,8.7,SYN0071,Netherlands
S0029003,P0055,Synthetic fixture product,6,2023-05-31 12:00:00,25.02,SYN0029,France
S0082004,P0028,Synthetic fixture product,2,2023-05-31 12:00:00,25.89,SYN0082,Germany
S0031016,P0057,Synthetic fixture product,1,2023-05-31 12:00:00,27.67,SYN0031,Netherlands
CS0094017,P0014,Synthetic fixture return,-1,2023-06-01 00:00:00,17.0,SYN0094,Germany
S0000021,P0000,Synthetic fixture product,4,2023-06-01 10:00:00,9.15,SYN0000,United Kingdom
S0068011,P0068,Synthetic fixture product,2,2023-06-01 10:00:00,10.77,SYN0068,United Kingdom
S0036011,P0036,Synthetic fixture product,5,2023-06-01 10:00:00,9.15,SYN0036,United Kingdom
S0068011,P0001,Synthetic fixture product,2,2023-06-01 11:00:00,9.06,SYN0068,United Kingdom
S0036011,P0049,Synthetic fixture product,4,2023-06-01 11:00:00,7.28,SYN0036,United Kingdom
S0036011,P0062,Synthetic fixture product,2,2023-06-01 12:00:00,12.1,SYN0036,United Kingdom
S0112005,P0032,Synthetic fixture product,6,2023-06-02 10:00:00,20.25,SYN0112,United Kingdom
S0097010,P0017,Synthetic fixture product,1,2023-06-02 10:00:00,22.48,SYN0097,France
S0061003,P0061,Synthetic fixture product,3,2023-06-02 10:00:00,15.77,SYN0061,France
S0015006,P0015,Synthetic fixture product,4,2023-06-02 10:00:00,26.66,SYN0015,Netherlands
S0097010,P0030,Synthetic fixture product,6,2023-06-02 11:00:00,14.96,SYN0097,France
S0061003,P0074,Synthetic fixture product,4,2023-06-02 11:00:00,18.98,SYN0061,France
S0097010,P0043,Synthetic fixture product,4,2023-06-02 12:00:00,18.36,SYN0097,France
S0008009,P0008,Synthetic fixture product,3,2023-06-03 10:00:00,21.16,SYN0008,United Kingdom
S0117004,P0037,Synthetic fixture product,5,2023-06-03 10:00:00,19.42,SYN0117,France
S0065013,P0065,Synthetic fixture product,1,2023-06-03 10:00:00,24.06,SYN0065,France
S0064014,P0064,Synthetic fixture product,5,2023-06-03 10:00:00,26.49,SYN0064,United Kingdom
S0011008,P0011,Synthetic fixture product,6,2023-06-03 10:00:00,19.28,SYN0011,Netherlands
S0011008,P0024,Synthetic fixture product,2,2023-06-03 11:00:00,23.27,SYN0011,Netherlands
S0008009,P0021,Synthetic fixture product,4,2023-06-03 11:00:00,18.84,SYN0008,United Kingdom
S0117004,P0050,Synthetic fixture product,5,2023-06-03 11:00:00,21.56,SYN0117,France
S0008009,P0034,Synthetic fixture product,3,2023-06-03 12:00:00,12.87,SYN0008,United Kingdom
S0004013,P0004,Synthetic fixture product,3,2023-06-04 10:00:00,8.49,SYN0004,United Kingdom
S0100009,P0020,Synthetic fixture product,3,2023-06-04 10:00:00,18.65,SYN0100,United Kingdom
S0012006,P0012,Synthetic fixture product,6,2023-06-04 10:00:00,20.86,SYN0012,United Kingdom
S0030003,P0030,Synthetic fixture product,1,2023-06-04 10:00:00,26.28,SYN0030,Germany
S0037010,P0037,Synthetic fixture product,6,2023-06-04 10:00:00,8.86,SYN0037,France
S0037010,P0050,Synthetic fixture product,4,2023-06-04 11:00:00,8.06,SYN0037,France
S0004013,P0017,Synthetic fixture product,5,2023-06-04 11:00:00,12.81,SYN0004,United Kingdom
S0100009,P0033,Synthetic fixture product,3,2023-06-04 11:00:00,27.16,SYN0100,United Kingdom
S0037010,P0063,Synthetic fixture product,1,2023-06-04 12:00:00,13.57,SYN0037,France
S0004013,P0030,Synthetic fixture product,2,2023-06-04 12:00:00,9.78,SYN0004,United Kingdom
S0093020,P0013,Synthetic fixture product,5,2023-06-05 10:00:00,17.28,SYN0093,France
S0092004,P0012,Synthetic fixture product,4,2023-06-05 10:00:00,15.11,SYN0092,United Kingdom
S0062020,P0062,Synthetic fixture product,4,2023-06-05 10:00:00,23.27,SYN0062,Germany
S0070009,P0070,Synthetic fixture product,5,2023-06-05 10:00:00,7.72,SYN0070,Germany
S0058004,P0058,Synthetic fixture product,6,2023-06-05 10:00:00,19.41,SYN0058,Germany
S0059004,P0059,Synthetic fixture product,3,2023-06-05 10:00:00,17.48,SYN0059,Netherlands
S0095014,P0015,Synthetic fixture product,2,2023-06-05 10:00:00,21.27,SYN0095,Netherlands
S0058004,P0071,Synthetic fixture product,6,2023-06-05 11:00:00,12.84,SYN0058,Germany
S0062020,P0075,Synthetic fixture product,2,2023-06-05 11:00:00,23.22,SYN0062,Germany
S0095014,P0028,Synthetic fixture product,2,2023-06-05 11:00:00,13.11,SYN0095,Netherlands
S0070009,P0003,Synthetic fixture product,2,2023-06-05 11:00:00,8.44,SYN0070,Germany
S0093020,P0026,Synthetic fixture product,5,2023-06-05 11:00:00,14.08,SYN0093,France
S0093020,P0039,Synthetic fixture product,5,2023-06-05 12:00:00,13.11,SYN0093,France
S0058004,P0004,Synthetic fixture product,4,2023-06-05 12:00:00,20.41,SYN0058,Germany
S0114004,P0034,Synthetic fixture product,1,2023-06-06 10:00:00,21.08,SYN0114,Germany
S0072007,P0072,Synthetic fixture product,1,2023-06-06 10:00:00,13.18,SYN0072,United Kingdom
S0020005,P0020,Synthetic fixture product,4,2023-06-06 10:00:00,11.13,SYN0020,United Kingdom
S0009008,P0009,Synthetic fixture product,3,2023-06-06 10:00:00,17.47,SYN0009,France
S0103008,P0023,Synthetic fixture product,5,2023-06-06 10:00:00,9.63,SYN0103,Netherlands
S0075007,P0075,Synthetic fixture product,2,2023-06-06 10:00:00,13.53,SYN0075,Netherlands
S0108007,P0028,Synthetic fixture product,6,2023-06-06 10:00:00,14.7,SYN0108,United Kingdom
S0040008,P0040,Synthetic fixture product,2,2023-06-06 10:00:00,10.1,SYN0040,United Kingdom
S0002015,P0002,Synthetic fixture product,6,2023-06-06 10:00:00,10.45,SYN0002,Germany
S0032017,P0032,Synthetic fixture product,3,2023-06-06 10:00:00,16.84,SYN0032,United Kingdom
S0002015,P0015,Synthetic fixture product,5,2023-06-06 11:00:00,11.2,SYN0002,Germany
S0032017,P0045,Synthetic fixture product,1,2023-06-06 11:00:00,27.55,SYN0032,United Kingdom
S0075007,P0008,Synthetic fixture product,1,2023-06-06 11:00:00,16.1,SYN0075,Netherlands
S0072007,P0005,Synthetic fixture product,1,2023-06-06 11:00:00,14.53,SYN0072,United Kingdom
S0009008,P0022,Synthetic fixture product,4,2023-06-06 11:00:00,14.99,SYN0009,France
S0020005,P0033,Synthetic fixture product,6,2023-06-06 11:00:00,15.16,SYN0020,United Kingdom
S0108007,P0041,Synthetic fixture product,6,2023-06-06 11:00:00,11.39,SYN0108,United Kingdom
S0114004,P0047,Synthetic fixture product,6,2023-06-06 11:00:00,26.49,SYN0114,Germany
S0002015,P0028,Synthetic fixture product,1,2023-06-06 12:00:00,7.84,SYN0002,Germany
S0009008,P0035,Synthetic fixture product,1,2023-06-06 12:00:00,17.63,SYN0009,France
CS0103008,P0023,Synthetic fixture return,-1,2023-06-07 00:00:00,9.0,SYN0103,Netherlands
